Aws Albarghouthi
Christel Baier
Clark Barrett
Ezio Bartocci
Dirk Beyer
Per Bjesse
Jasmin Christian Blanchette
Roderick Bloem
Ahmed Bouajjani
Pavol Cerny
Rohit Chadha
Swarat Chaudhuri
Wei-Ngan Chin
Hana Chockler
Alessandro Cimatti
Loris D'Antoni
Vijay D'Silva
Cristina David
Jyotirmoy Deshmukh
Isil Dillig
Cezara Dr&abreve;goi
Kerstin Eder
Michael Emmi
Georgios Fainekos
Dana Fisman
Vijay Ganesh
Sicun Gao
Alberto Griggio
Orna Grumberg
Arie Gurfinkel
William Harrison
Gerard Holzmann
Alan J. Hu
Franjo Ivancic
Alexander Ivrii
Himanshu Jain
Somesh Jha
Susmit Jha
Ranjit Jhala
Barbara Jobstmann
Stefan Kiefer
Zachary Kincaid
Laura Kovacs
Viktor Kuncak
Orna Kupferman
Shuvendu Lahiri
Rupak Majumdar
Ken McMillan
Alexander Nadel
Mayur Naik
Kedar Namjoshi
Dejan Nickovic
Corina Pasareanu
Nir Piterman
Pavithra Prabhakar
Mitra Purandare
Shaz Qadeer
Arjun Radhakrishna
Noam Rinetzky
Philipp Ruemmer
Roopsha Samanta
Sriram Sankaranarayanan
Martina Seidl
Koushik Sen
Sanjit A. Seshia
Natasha Sharygina
Sharon Shoham
Anna Slobodova
Armando Solar-Lezama
Ofer Strichman
Serdar Tasiran
Caterina Urban
Yakir Vizel
Tomas Vojnar
Thomas Wahl
Bow-Yaw Wang
Georg Weissenbacher
Thomas Wies
Karen Yorav
Lenore Zuck
Damien Zufferey
Florian Zuleger
